,artists,uri,name,popularity,isrc,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,Chico Buarque,spotify:track:0VUgbCK0k8QWGpLiEV8YYZ,Cálice,49,BRPGD7800015,"

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 1: Milton Nascimento]
Como beber dessa bebida amarga
Tragar a dor, engolir a labuta
Mesmo calada a boca, resta o peito
Silêncio na cidade não se escuta
De que me vale ser filho da santa
Melhor seria ser filho da outra
Outra realidade menos morta
Tanta mentira, tanta força bruta

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 2: Chico Buarque]
Como é difícil acordar calado
Se na calada da noite eu me dano
Quero lançar um grito desumano
Que é uma maneira de ser escutado
Esse silêncio todo me atordoa
Atordoado, eu permaneço atento
Na arquibancada pra qualquer momento
Ver emergir o monstro da lagoa

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 3: Milton Nascimento]
De muito gorda a porca já não anda (Cale-se!)
De muito usada a faca já não corta
Como é difícil, pai, abrir a porta (Cale-se!)
Essa palavra presa na garganta
Esse pileque homérico no mundo
De que adianta ter boa vontade?
Mesmo calado o peito, resta a cuca
Dos bêbados do centro da cidade

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 4: Chico Buarque]
Talvez o mundo não seja pequeno (Cale-se!)
Nem seja a vida um fato consumado (Cale-se!)
Quero inventar o meu próprio pecado (Cale-se!)
Quero morrer do meu próprio veneno (Pai! Cale-se!)
Quero perder de vez tua cabeça (Cale-se!)
Minha cabeça perder teu juízo (Cale-se!)
Quero cheirar fumaça de óleo diesel (Cale-se!)
Me embriagar até que alguém me esqueça

",0.596,0.372,4,-9.391,1,0.0606,0.848,0.0,0.331,0.293,123.125,0VUgbCK0k8QWGpLiEV8YYZ,241867,4
1,Milton Nascimento,spotify:track:0VUgbCK0k8QWGpLiEV8YYZ,Cálice,49,BRPGD7800015,"

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 1: Milton Nascimento]
Como beber dessa bebida amarga
Tragar a dor, engolir a labuta
Mesmo calada a boca, resta o peito
Silêncio na cidade não se escuta
De que me vale ser filho da santa
Melhor seria ser filho da outra
Outra realidade menos morta
Tanta mentira, tanta força bruta

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 2: Chico Buarque]
Como é difícil acordar calado
Se na calada da noite eu me dano
Quero lançar um grito desumano
Que é uma maneira de ser escutado
Esse silêncio todo me atordoa
Atordoado, eu permaneço atento
Na arquibancada pra qualquer momento
Ver emergir o monstro da lagoa

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 3: Milton Nascimento]
De muito gorda a porca já não anda (Cale-se!)
De muito usada a faca já não corta
Como é difícil, pai, abrir a porta (Cale-se!)
Essa palavra presa na garganta
Esse pileque homérico no mundo
De que adianta ter boa vontade?
Mesmo calado o peito, resta a cuca
Dos bêbados do centro da cidade

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 4: Chico Buarque]
Talvez o mundo não seja pequeno (Cale-se!)
Nem seja a vida um fato consumado (Cale-se!)
Quero inventar o meu próprio pecado (Cale-se!)
Quero morrer do meu próprio veneno (Pai! Cale-se!)
Quero perder de vez tua cabeça (Cale-se!)
Minha cabeça perder teu juízo (Cale-se!)
Quero cheirar fumaça de óleo diesel (Cale-se!)
Me embriagar até que alguém me esqueça

",0.596,0.372,4,-9.391,1,0.0606,0.848,0.0,0.331,0.293,123.125,0VUgbCK0k8QWGpLiEV8YYZ,241867,4
0,Geraldo Vandre,spotify:track:78lTDfRCqtxSvByIRMiXF2,Pra Não Dizer Que Não Falei Das Flores,46,BRWMB0103502,,0.525,0.284,3,-15.206,0,0.0472,0.353,0.0997,0.127,0.306,114.195,78lTDfRCqtxSvByIRMiXF2,361360,3
0,Chico Buarque,spotify:track:1c5p5OGuTRzSmllRELInXY,Sinal Fechado,22,BRPGD7400029,"

– Olá! Como vai?
– Eu vou indo. E você, tudo bem?
– Tudo bem! Eu vou indo, correndo pegar meu lugar no futuro. E você?
– Tudo bem! Eu vou indo, em busca de um sono tranqüilo. Quem sabe?
– Quanto tempo!
– Pois é, quanto tempo!
– Me perdoe a pressa - é a alma dos nossos negócios!
– Qual, não tem de quê! Eu também só ando a cem!
– Quando é que você telefona? Precisamos nos ver por aí!
– Pra semana, prometo, talvez nos vejamos. Quem sabe?
– Quanto tempo!
– Pois é . . ., quanto tempo!
– Tanta coisa que eu tinha a dizer, mas eu sumi na poeira das ruas.
– Eu também tenho algo a dizer, mas me foge à lembrança!
– Por favor, telefone - Eu preciso beber alguma coisa, rapidamente!
– Pra semana . . .
– O sinal . . .
– Eu procuro você . . .
– Vai abrir, vai abrir . . .
– Eu prometo, não esqueço, não esqueço!
– Por favor, não esqueça, não esqueça . . .
– Adeus!
– Adeus!
– Adeus!

",0.37,0.325,2,-14.025,0,0.0343,0.974,0.507,0.13,0.374,138.446,1c5p5OGuTRzSmllRELInXY,156973,4
0,Chico Buarque,spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,Apesar De Você,56,BRPGD7800024,"

Amanhã vai ser outro dia
Amanhã vai ser outro dia
Amanhã vai ser outro dia

Hoje você é quem manda
Falou, tá falado
Não tem discussão, não
A minha gente hoje anda
Falando de lado e olhando pro chão
Viu?
Você que inventou esse Estado
Inventou de inventar
Toda escuridão
Você que inventou o pecado
Esqueceu-se de inventar o perdão

Apesar de você
Amanhã há de ser outro dia
Eu pergunto a você onde vai se esconder
Da enorme euforia?
Como vai proibir
Quando o galo insistir em cantar?
Água nova brotando
E a gente se amando sem parar

Quando chegar o momento
Esse meu sofrimento
Vou cobrar com juros. Juro!
Todo esse amor reprimido
Esse grito contido
Este samba no escuro
Você que inventou a tristeza
Ora, tenha a fineza
De ""desinventar""
Você vai pagar, e é dobrado
Cada lágrima rolada
Nesse meu penar

Apesar de você
Amanhã há de ser outro dia
Ainda pago pra ver
O jardim florescer
Qual você não queria
Você vai se amargar
Vendo o dia raiar
Sem lhe pedir licença
E eu vou morrer de rir
E esse dia há de vir
Antes do que você pensa
Apesar de você...

Apesar de você
Amanhã há de ser outro dia
Você vai ter que ver
A manhã renascer
E esbanjar poesia
Como vai se explicar
Vendo o céu clarear
De repente, impunemente?
Como vai abafar
Nosso coro a cantar
Na sua frente
Apesar de você

Apesar de você
Amanhã há de ser outro dia
Você vai se dar mal, etc. e tal
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá

",0.568,0.574,4,-8.993,0,0.0683,0.468,0.0,0.362,0.68,107.82,2GAFZG9Z7UGS1iMm4Idrnr,235547,4
1,MPB4,spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,Apesar De Você,56,BRPGD7800024,"

Amanhã vai ser outro dia
Amanhã vai ser outro dia
Amanhã vai ser outro dia

Hoje você é quem manda
Falou, tá falado
Não tem discussão, não
A minha gente hoje anda
Falando de lado e olhando pro chão
Viu?
Você que inventou esse Estado
Inventou de inventar
Toda escuridão
Você que inventou o pecado
Esqueceu-se de inventar o perdão

Apesar de você
Amanhã há de ser outro dia
Eu pergunto a você onde vai se esconder
Da enorme euforia?
Como vai proibir
Quando o galo insistir em cantar?
Água nova brotando
E a gente se amando sem parar

Quando chegar o momento
Esse meu sofrimento
Vou cobrar com juros. Juro!
Todo esse amor reprimido
Esse grito contido
Este samba no escuro
Você que inventou a tristeza
Ora, tenha a fineza
De ""desinventar""
Você vai pagar, e é dobrado
Cada lágrima rolada
Nesse meu penar

Apesar de você
Amanhã há de ser outro dia
Ainda pago pra ver
O jardim florescer
Qual você não queria
Você vai se amargar
Vendo o dia raiar
Sem lhe pedir licença
E eu vou morrer de rir
E esse dia há de vir
Antes do que você pensa
Apesar de você...

Apesar de você
Amanhã há de ser outro dia
Você vai ter que ver
A manhã renascer
E esbanjar poesia
Como vai se explicar
Vendo o céu clarear
De repente, impunemente?
Como vai abafar
Nosso coro a cantar
Na sua frente
Apesar de você

Apesar de você
Amanhã há de ser outro dia
Você vai se dar mal, etc. e tal
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá

",0.568,0.574,4,-8.993,0,0.0683,0.468,0.0,0.362,0.68,107.82,2GAFZG9Z7UGS1iMm4Idrnr,235547,4
2,Quarteto Em Cy,spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,Apesar De Você,56,BRPGD7800024,"

Amanhã vai ser outro dia
Amanhã vai ser outro dia
Amanhã vai ser outro dia

Hoje você é quem manda
Falou, tá falado
Não tem discussão, não
A minha gente hoje anda
Falando de lado e olhando pro chão
Viu?
Você que inventou esse Estado
Inventou de inventar
Toda escuridão
Você que inventou o pecado
Esqueceu-se de inventar o perdão

Apesar de você
Amanhã há de ser outro dia
Eu pergunto a você onde vai se esconder
Da enorme euforia?
Como vai proibir
Quando o galo insistir em cantar?
Água nova brotando
E a gente se amando sem parar

Quando chegar o momento
Esse meu sofrimento
Vou cobrar com juros. Juro!
Todo esse amor reprimido
Esse grito contido
Este samba no escuro
Você que inventou a tristeza
Ora, tenha a fineza
De ""desinventar""
Você vai pagar, e é dobrado
Cada lágrima rolada
Nesse meu penar

Apesar de você
Amanhã há de ser outro dia
Ainda pago pra ver
O jardim florescer
Qual você não queria
Você vai se amargar
Vendo o dia raiar
Sem lhe pedir licença
E eu vou morrer de rir
E esse dia há de vir
Antes do que você pensa
Apesar de você...

Apesar de você
Amanhã há de ser outro dia
Você vai ter que ver
A manhã renascer
E esbanjar poesia
Como vai se explicar
Vendo o céu clarear
De repente, impunemente?
Como vai abafar
Nosso coro a cantar
Na sua frente
Apesar de você

Apesar de você
Amanhã há de ser outro dia
Você vai se dar mal, etc. e tal
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá
La, laiá, la laiá, la laiá

",0.568,0.574,4,-8.993,0,0.0683,0.468,0.0,0.362,0.68,107.82,2GAFZG9Z7UGS1iMm4Idrnr,235547,4
0,Chico Buarque,spotify:track:06ND7qqsmIRCuWdQNQIlTE,Roda-Viva,52,BRSGL6800006,"

[Verso 1]
Tem dias que a gente se sente
Como quem partiu ou morreu
A gente estancou de repente
Ou foi o mundo então que cresceu
A gente quer ter voz ativa
No nosso destino mandar
Mas eis que chega a roda-viva
E carrega o destino pra lá

[Refrão]
Roda mundo, roda-gigante
Rodamoinho, roda pião
O tempo rodou num instante
Nas voltas do meu coração

[Verso 2]
A gente vai contra a corrente
Até não poder resistir
Na volta do barco é que sente
O quanto deixou de cumprir
Faz tempo que a gente cultiva
A mais linda roseira que há
Mas eis que chega a roda-viva
E carrega a roseira pra lá

[Refrão]

[Verso 3]
A roda da saia, a mulata
Não quer mais rodar, não senhor
Não posso fazer serenata
A roda de samba acabou
A gente toma a iniciativa
Viola na rua, a cantar
Mas eis que chega a roda-viva
E carrega a viola pra lá

[Refrão]

[Verso 4]
O samba, a viola, a roseira
Um dia a fogueira queimou
Foi tudo ilusão passageira
Que a brisa primeira levou
No peito a saudade cativa
Faz força pro tempo parar
Mas eis que chega a roda-viva
E carrega a saudade pra lá

[Refrão x3]

",0.502,0.512,10,-8.097,0,0.0337,0.793,1.8e-05,0.235,0.651,133.174,06ND7qqsmIRCuWdQNQIlTE,233400,4
0,Caetano Veloso,spotify:track:6cmbHKqPOKVOUbGkBX64zk,"Alegria, Alegria - Original Album",0,BRMCA6700237,,0.346,0.419,6,-11.123,1,0.0282,0.373,0.0,0.0856,0.718,100.481,6cmbHKqPOKVOUbGkBX64zk,170973,4
0,Belchior,spotify:track:3Ig3k8enaBZy7cohqfnWVz,Como nossos pais,27,BRWMB9705419,"

[Verso 1]
Não quero lhe falar
Meu grande amor
Das coisas que aprendi
Nos discos

Quero lhe contar
Como eu vivi
E tudo o que
Aconteceu comigo

Viver é melhor que sonhar
E eu sei que o amor
É uma coisa boa
Mas também sei
Que qualquer canto
É menor do que a vida
De qualquer pessoa

Por isso cuidado, meu bem
Há perigo na esquina
Eles venceram e o sinal
Está fechado pra nós
Que somos jovens

Para abraçar meu irmão
E beijar minha menina
Na rua
É que se fez o meu lábio
O seu braço
E a minha voz

Você me pergunta
Pela minha paixão
Digo que estou encantado
Como uma nova invenção
Vou ficar nesta cidade
Não, não vou voltar pro sertão
Pois vejo vir vindo no vento
O cheiro da nova estação
E eu sei de tudo
Na ferida viva
Do meu coração

Já faz tempo
Eu vi você na rua
Cabelo ao vento
Gente jovem reunida
Na parede da memória
Esta lembrança
É o quadro que dói mais

[Refrão]
Minha dor é perceber
Que apesar de termos
Feito tudo, tudo
Tudo o que fizemos
Ainda somos os mesmos
E vivemos
Como Os Nossos Pais

[Verso 2]
Nossos ídolos
Ainda são os mesmos
E as aparências
As aparências
Não enganam, não
Você diz que depois deles
Não apareceu mais ninguém
Você pode até dizer
Que eu estou por fora
Ou então
Que eu estou inventando

Mas é você
Que ama o passado
E que não vê
É você
Que ama o passado
E que não vê
Que o novo
O novo sempre vem

E hoje eu sei
Que quem me deu a ideia
De uma nova consciência
E juventude
Está em casa
Guardado por Deus
Contando seus metais

[Refrão]
Minha dor é perceber
Que apesar de termos
Feito tudo, tudo
Tudo o que fizemos
Ainda somos os mesmos
E vivemos
Como Os Nossos Pais

",0.463,0.337,8,-13.183,1,0.154,0.887,0.0,0.203,0.269,96.559,3Ig3k8enaBZy7cohqfnWVz,280627,4
