,query,type,genre,title,artist,year
1,Calice,Vocals / Lyrics,Hip-Hop / Rap / R&B,Abalando,Gabriel O Pensador,1993
0,Calice,Multiple Elements,Hip-Hop / Rap / R&B,Cálix-se,Trilha Sonora Do Gueto,2015
2,Como nossos pais,Multiple Elements,Hip-Hop / Rap / R&B,Direita Vou Ver,Mensageiros Da Profecia,2018
8,Apenas Um Rapaz Latino Americano,Vocals / Lyrics,Hip-Hop / Rap / R&B,"Capítulo 4, Versículo 3",Racionais MC's,1997
10,Jorge Maravilha,Multiple Elements,Hip-Hop / Rap / R&B,"Brasil Com ""P""",GOG,1999
12,Jorge Maravilha,Vocals / Lyrics,Soul / Funk / Disco,Fio Maravilha - Taj Mahal,Crystal Grass,1979
18,Vapor Barato,Vocals / Lyrics,Other,Flor Da Pele / Vapor Barato,Zeca Baleiro,1998
13,Opiniao,Vocals / Lyrics,Hip-Hop / Rap / R&B,Cachorro Louco Do Morro,Alcatéia,2010
23,Aquele Abraco,Multiple Elements,World,Emorio,Sérgio Mendes feat. Nayanna Holley and Carlinhos Brown,2010
24,Aquele Abraco,Vocals / Lyrics,Electronic / Dance,Rio 40 Graus (Album Version),Fernanda Abreu,1992
27,Monte Castelo,Rock / Pop,,Monte Castelo,Cidade Negra,2007
28,Carinhoso,Vocals / Lyrics,Hip-Hop / Rap / R&B,Deixa Quieto,Gabriel O Pensador,2012
30,Azul Da Cor Do Mar,Vocals / Lyrics,Hip-Hop / Rap / R&B,Se O Mundo Inteiro Pudesse Me Ouvir,Filosofia De Rua,1994
39,Primavera nos dentes,Rock / Pop,,Primavera Nos Dentes,Cidade Negra,2007
42,Sangue latino,Hook / Riff,Rock / Pop,Eu Não Aguento,Titãs,1995
