,song_sp_uri,song_name,song_isrc,song_popularity,song_lyrics,class,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artist_genres,artist_name,artist_photo,artist_popularity,artist_sp_followers
0,spotify:track:1SAb9K86jnUp92tgYFApvn,Abalando / Prá Não Dizer Que Não Falei das Flores / Cálice,BRSME9300293,22,,Protest,0.803,0.779,2,-11.644,1,0.305,0.171,0.0,0.408,0.601,104.173,1SAb9K86jnUp92tgYFApvn,289573,4,brazilian hip hop,Gabriel O Pensador,https://i.scdn.co/image/2fc91128531c11378c4e3cbe4d174b5ab88fd8b2,58,894370
1,spotify:track:4zJnSZJjCmGnkQX1W38ZIl,Calix-Se,US7VG1593526,36,"pai sinto falta voce aqui rua campim quanto to jogando bola lembro dia voce despediu negocio raquete ce portava fuzil fiz conta nao vi respeito voce coracao dia ja comecou doer nasceu mim hora pensamento vou comporta voce ai dentro ? vai ta comigo la reuniao ? vai corrigir pra mim licao ? hoje quero nessa carta sentimento espero chegue pra voce ai dentro sistema nao impeca voce receber declaracao amor , pai amo voce ! governo nao desviado capital nao povo transformado marginal ce taria piao rr comigo nao taria ai dentro merce inimigo desculpa pai nao aguentei falar voce parar ai nao sabia expressar objetivo dessa carta somente dizer pra nois nao interessa fez voce sofrer tamu aqui familia junto pra fortalecer pode passar 30 anos to junto voce to firme escola to tentando exemplo sempre fi peixe ir pro arrebento ta comigo aqui nois desenrola igual voce nao jogo conversa missao , tipo revolucao so forma legal pra nao ir prisao **eu nao quero saber nada nao , aqui primeiro comando capital inimigo numero voces xara ... ** calice , afasta mim calice pai calice , afasta mim calice filho ce entende dei mancada toda revolucao preco paga uns morre , uns mata outros vai prisao felizmente faco parte dessa manifestacao ce disse voce bebe papai soldado programado pra morrer sociedade entenda proposito nois pan capital dissemina odio infelizmente reacao partir sistema prisional cansado engolir organizou , debateu , decidiu resolver hoje tomou forma tamu ai , pcc fuzil , mano , sistema guerra outro lado povo calado observa nao preocupe carta nao so chegou fez heroi desmontar robo calice , afasta mim calice pai calice , afasta mim calice ? toma cuidado ! ta chegando fim mundo ! ai boy cantando rap tipo vagabundo infiltrou , envolveu tipo kgb ta envolvido verdade pra querer saber nois pensa nois faz ja nao segredo boys comprou dom so gueto imagino mano ta rimando patati patata plique plaquiando tipo ciranda cirandinha vai catar vai gado pai conta tomar nois pagava pra boy sig sauer so queria irma tag heuer hoje tamu empresa empregado ordem nois cumpre , vida gado ! ja to ligado resposta boicotar voce ja faz anos nao vai mudar alguem rap ai responde pergunta ninguem responde ta firmao falo ces escuta ninguem ja viu nessas festa cantor rap tsg participar sempre esquecem assim trilha cresce boca povo enquanto tropa babaca faz papel bobo cantor rap recalcado ai mato tromba vem fingir aliado perdoa vai mim filho to falando agora geracao ta imperando deu mancada , traiu vai pagar escreveu nao viveu rap vai cobrar posso louco falar tudo falo medo bolinho podre embalo aqui trilha sonora sempre criminal revolucao daquele jeito nao pago pau respeito sim povo consagrou nao mudo dinheiro canto amor representante favelas todo brasil voz ta enclausurado tiro fuzil carrega ate fim rap aqui peito pra gostou nao gostou trilha sonora gueto ! ",Protest,0.76,0.744,11,-3.564,0,0.0946,0.69,0.0,0.39,0.812,82.004,4zJnSZJjCmGnkQX1W38ZIl,360751,4,brazilian hip hop,Trilha Sonora do Gueto,https://i.scdn.co/image/f44f9e10538aa6391688ca0264c6aad5da766cfa,45,130298
2,spotify:track:744T5MTpQJhem1FPdKvTQ1,Direita Vou Ver,BXRCL1800064,25,"`` continuo sendo socialista , portanto , esquerda . eramos contra ditadura militar , eramos favor ditadura proletariado . ai preciso dizer verdade toda , ne ? stalin hitler disputam pau pau medalha ouro genocidas historia recente , mao tse-tung vem ai medalha prata '' `` viver melhor sonhar sei amor coisa boa '' `` aqui ? '' surpresa , brasil ! acabou chegar ? favelado esquerda nao conseguiu enganar falaram pra parar bater panela tentaram dar 30 conto uns pao mortadela desde bolsa familia , mania canalha ces acha compra gente misera migalha migalha nao presente , nao , devolucao vovo ja dizia : `` diabo tira duas maos todo presente estado voce paga perceba , genio , voce nao ganha nada entao pare pedir pro estado ajudar melhor parasse atrapalhar rejeito cota , divide faz fracos porque pretos brancos moram mesmos barracos voces sao tudo prego , olavo razao foice arranca cabeca martelo afunda chao mao esquerda escreve ideologia apaga destro direita punch pesada distribui renda , tipo cuba , venezuela governo fica dinheiro distribui igualmente miseria voce falou rapper esquerda defender pt corrupto rap ai , truta , maldade fica rapzinho ai sigo verdade povo levantou choque ces ficou so ouve bem quietinho nao estressa aqui `` rap , regras '' cota acabou rap merito ces falou `` nao passarao '' , ja to passando entao vai segurando playboy esquerda inventa tese voce repete igual papagaio rap ce fala defende favela democracia favelado discorda , ce chama fascista rap rua , rouanet ? verdade crua , vou fazer voce comer ces sao pagos pra pagar revolucionario ces chamam luta , prima chamam trabalho politico mente , ce acha correto ? rap crente , politicamente incorreto nao posso defender valores sao cristaos cala boca , playboy , nao pretinho estimacao brancos devem reparacao tudo judeus deviam hitler , morreram camara gas brasil nao sera diferente , nao brancos campos concentracao certamente nao sera genocidio , sei , triste porque ces falam racismo inverso nao existe sinhozinho faz dependente cota chicote corta , preso senzala ideologica ces vao querer cabeca bandeja porque preto pode tudo , menos discordar esquerda ces pagando mal malcolm x , so dividem sonho , sonho dr king povo levantou choque ces ficou so ouve bem quietinho nao estressa aqui `` rap , regras '' cota acabou rap merito ces falou `` nao passarao '' , ja to passando entao vai segurando `` gente , tambem complicado voce dizer 'eu favor , contra ' . disser favor , exemplo , favor assalto . penso assim : logica assalto '' escolhe estudar outro escolhe tomar ta formado quadrilha so quer formar trampando fica so po outro po fica trampando poe culpa sistema ocupado trabalhando deixou ze ninguem outro quer ze pequeno ainda quer terror so terreno comprou solda outro preferiu comprar berro faz ferrolho fechadura outro faz fita ferro ajuda mae outro mae ajuda deixa maes luto orgulha mae luta outro preto so mentia , preto verdade diferenca dois palavra carater mora favela outro tambem outro mata quer morre so queria fazer fotos outro so fazer fita tava armamento so marmita tava moto g outro moto roubada dava tudo pra ta vivo pro outro viver nao nada tava ponto , outro ponto assaltar gritou perdeu , so nao quis largar outro deu tiro , so caiu rua celular vida , troca justa logica assalto ? loucura , vai tratar jovem perdeu vida , outro bandido ganhou celular minuto silencio toda vitima latrocinio esquecida quanto algoz virou bandeira politica povo levantou choque ces ficou so ouve bem quietinho nao estressa aqui `` rap , regras '' cota acabou rap merito ces falou `` nao passarao '' , ja to passando entao vai segurando `` viver melhor sonhar sei amor coisa boa '' povo levantou choque ces ficou so ouve bem quietinho nao estressa aqui `` rap , regras '' cota acabou rap merito ces falou `` nao passarao '' , ja to passando entao vai segurando ",Protest,0.545,0.811,11,-7.966,0,0.14,0.638,0.0,0.177,0.639,79.934,744T5MTpQJhem1FPdKvTQ1,364504,4,adoracao,Mensageiros da Profecia,https://i.scdn.co/image/688287e9b2eefe63a259123e82c12c30acc2bfc1,35,20698
3,spotify:track:6Wt61AZLG0bN2KasopE2sj,"Capítulo 4, Versículo 3",US7VG1324929,58,"60 % jovens periferia antecedentes criminais ja sofreram violencia policial cada quatro pessoas mortas policia , tres sao negras universidades brasileiras , apenas 2 % alunos sao negros cada quatro horas , jovem negro morre violentamente sao paulo aqui fala primo preto , sobrevivente intencao ruim , esvazia lugar to cima , to fim , , dois pra atirar bem pior voce ta vendo preto aqui nao , 100 % veneno primeira faz `` bum '' segunda faz `` ta '' missao nao vou parar estilo pesado faz tremer chao palavra vale tiro , muita municao queda ascensao atitude vai alem disposicao pro mal pro bem talvez sadico , anjo , magico juiz reu , bandido ceu malandro otario , padre sanguinario franco atirador , necessario revolucionario , insano marginal antigo moderno , imortal fronteira ceu inferno astral imprevisivel , ataque cardiaco verso violentamente pacifico , veridico vim pra sabotar raciocinio vim pra abalar sistema nervoso sanguineo pra mim ainda pouco , brown cachorro louco numero guia terrorista periferia uni-duni-te pra voce rap venenoso rajada pt profecia fez previsto 1997 cristo furia negra ressuscita outra vez racionais , capitulo 4 , versiculo 3 aleluia , aleluia racionais ar , filha puta pa , pa , pa faz frio sao paulo , pra mim ta sempre bom to rua bombeta moletom dim dim dom , rap som emana opala marrom ai , chama guilherme , chama fanho , chama dinho di ? marquinho , chama eder , vamo ai outros mano vem ordem , tudo bem , melhor bilhar , domino colou dois mano , acenou pra mim jaco cetim , tenis , calca jeans ei , brown , sai , vai , cola nao vale pena dar ideia nesse tipo ai ontem noite vi beira asfalto tragando morte , soprando vida pro alto cara so po , pele osso fundo poco , mo flagrante bolso veja bem ninguem ninguem veja bem , veja bem sao irmaos tambem cocaina crack , whisky conhaque mano morre rapidinho , lugar destaque pra falar cheira fuma ? , nunca dei porra nenhuma voce fuma vem , entope nariz bebe tudo ve , faca diabo feliz voce vai terminar tipo outro mano la preto tipo ninguem tava mo estilo calca calvin klein , tenis puma , jeito humilde , trampo role curtia funk jogava bola buscava preta portao escola exemplo pra , mo moral , mo ibope comecou colar branquinho shopping ih , mano , outra vida , outro pique so mina elite , balada , varios drinques puta boutique , toda porra sexo limite , sodoma gomorra faz uns nove anos uns quinze dias atras vi mano ce ver ... pedindo cigarro pros tiozinho ponto dente tudo zuado , bolso nenhum conto cara cheira mal , tias sentem medo loco sei la logo cedo agora nao oferece perigo viciado , doente , fudido , inofensivo dia pm negro veio embacar disse pra lugar vejo mano nessas condicoes , nao sera assim deveria estar ? irmao , demonio fode tudo redor radio , jornal , revista outdoor oferece dinheiro , conversa calma contamina carater , rouba alma joga merda , sozinho , transforma preto `` tipo '' neguinho palavra alivia dor , ilumina alma louvado senhor nao deixa mano aqui desandar sentar dedo nenhum pilantra nenhum filha puta ignore lei racionais , capitulo 4 , versiculo 3 aleluia , aleluia racionais ar , filha puta pa , pa , pa quatro minutos passaram ninguem viu monstro nasceu algum lugar brasil talvez mano trampa debaixo carro sujo oleo enquadra carro forte febre sangue olhos mano entrega envelope dia inteiro sol vende chocolate farol farol talvez cara defende pobre tribunal procura vida nova condicional alguem quarto madeira , lendo luz vela ouvindo radio velho fundo cela familia real negro , principe guerreiro defende gol nao mudo nao iludo mano cu burro , sei tudo troca dinheiro carro bom mano rebola usa ate batom varios patricios falam merda pra todo mundo rir pra ver branquinho aplaudir , area fulano ate pior cada cada , voce sente so mano aponta pistola fala serio explode cara toca-fita velho click , plau plau plau acabou , dor foda-se cor , limpa sangue camisa mande foder , voce sabe , pra onde vai , pra vai bar bar , esquina esquina , pega cinquenta conto troca cocaina , enfim , filme acabou pra voce bala nao festim , aqui nao duble mano baixada fluminense ceilandia sei , ruas nao sao disneylandia guaianases extremo sul santo amaro preto tipo custa caro , foda foda assistir propaganda ver nao pra pra voce playboy forgado brinco , trouxa roubado dentro carro avenida reboucas correntinha moca , madame bolsa dinheiro , nao pai , nao herdeiro cara humilha sinal menos real chance pouca moleque touca engatilha enfia cano dentro boca quebrada roupa , voce mina , dois , viu , ja sumi neblina nao , permaneco vivo ; prossigo mistica vinte sete anos contrariando estatistica comercial tv nao engana nao preciso status fama carro grana ja nao seduz puta olhos azuis apenas rapaz latino-americano apoiado cinquenta mil manos efeito colateral sistema fez racionais , capitulo 4 , versiculo 3 ",Protest,0.625,0.515,8,-9.187,0,0.415,0.0269,0.0,0.0839,0.903,87.841,6Wt61AZLG0bN2KasopE2sj,486560,4,brazilian hip hop,Racionais MC's,https://i.scdn.co/image/0e9f58b86b301af364cc4c130a4b19a86f75af73,67,2495926
4,spotify:track:4EBu1H5VUbBRXGtARMnkib,"Brasil Com ""P""",US7VG1539057,21,"pesquisa publicada prova : preferencialmente preto , pobre , prostituta pra policia prender pare , pense , ? prossigo periferia praticam perversidades : pms ! palanques politicos prometem , prometem pura palhacada . proveito proprio ? praias , programas , piscinas , palmas pra periferia ? panico , polvora , pa pa pa ! primeira pagina preco pago ? pescoco , peito , pulmoes perfurados parece pouco ? pedro paulo profissao : pedreiro passa-tempo predileto : pandeiro preso portanto po , passou piores pesadelos : presidios , poroes , problemas pessoais , psicologicos perdeu parceiros , passado , presente pais , parentes , principais pertences pc : politico privilegiado preso , parecia piada pagou propina pro plantao policial passou porta principal posso parecer psicopata pivo pra perseguicao prevejo populares portanto pistolas pronunciando palavroes promotores publicos pedindo prisoes pecado , pena prisao perpetua ! palavras pronunciadas poeta ",Protest,0.628,0.486,8,-12.051,1,0.371,0.867,0.00047,0.1,0.564,57.986,4EBu1H5VUbBRXGtARMnkib,104227,4,brazilian hip hop,GOG,https://i.scdn.co/image/de0d09c17287d9656696bb8f648e00688d4e0b9a,42,47072
5,spotify:track:58ZMFOd08nb2WrOoFhI4cY,Filho maravilha,BRWMB9801175,33,"novamente chegou inspiracao amor , emocao , explosao gol sacudindo torcida trinta tres minutos segundo tempo fazer jogada celestial gol tabelou , driblou dois zagueiros deu toque driblou goleiro so nao entrou bola tudo porque humildade gol gol classe onde mostrou malicia raca gol anjo verdadeiro gol placa galera agradecida assim cantava filho maravilha gostamos voce filho maravilha , faz pra gente ver ",Protest,0.561,0.865,4,-8.885,0,0.0414,0.205,1.51e-05,0.539,0.774,136.564,58ZMFOd08nb2WrOoFhI4cY,215693,4,bossa nova,Jorge Ben Jor,https://i.scdn.co/image/a9c6a324c5f4a0f25bc711a7c4434c89c05ceba2,64,368372
6,spotify:track:6zfsZzEzoxXSa1ug5O7RWJ,Flor da Pele / Vapor Barato,BRMZA9700044,45,"oh , sim , tao cansado nao pra dizer nao acredito voce calcas vermelhas casaco general cheio aneis vou descendo todas ruas vou tomar velho navio nao preciso dinheiro gracas deus nao importa , honey honey baby baby , honey baby oh , honey baby baby , honey baby oh , sim , tao cansado nao pra dizer to indo embora talvez volte dia volto quero esquece-la , preciso oh , grande ah , pequena oh , grande obsessao oh , honey baby baby , honey baby oh , honey baby honey baby , honey baby , ah ando tao flor pele qualquer beijo novela faz chorar ando tao flor pele olhar flor janela faz morrer ando tao flor pele desejo confunde vontade nao ando tao flor pele pele fogo juizo final barco porto rumo vela cavalo sela bicho solto cao dono menino bandido vezes preservo noutras suicido baby , honey baby , baby , baby , baby , baby , baby oh , honey baby honey baby , honey baby baby , baby , baby , baby , baby ando tao flor pele qualquer beijo novela faz chorar ando tao flor pele olhar flor janela faz morrer ando tao flor pele desejo confunde vontade nao ando tao flor pele pele fogo juizo final baby , honey baby honey baby , baby , baby , baby , baby oh , honey baby honey baby , honey baby baby , baby , baby , baby ando tao flor pele qualquer beijo novela faz chorar ando tao flor pele olhar flor janela faz morrer ando tao flor pele desejo confunde vontade nao ando tao flor pele pele fogo juizo final baby ",Protest,0.593,0.286,9,-16.069,0,0.0351,0.756,4.16e-05,0.113,0.303,133.07,6zfsZzEzoxXSa1ug5O7RWJ,200907,4,bossa nova,Zeca Baleiro,https://i.scdn.co/image/d3ce35b9e2a3ef49db1657a930a49bbe3dfcfbf3,63,518388
7,spotify:track:7gEgpd8U95dSJc4MsgUBSw,Emorio,USC4R1021096,19,,Protest,0.77,0.743,10,-7.352,0,0.22,0.116,0.0,0.0584,0.745,95.989,7gEgpd8U95dSJc4MsgUBSw,229333,4,bossa nova,Sérgio Mendes,https://i.scdn.co/image/3c545c88f4088810973411871a1bd29fa4397f92,57,81122
8,spotify:track:0oJrVYXer2HbGnymbDninp,Rio 40 Graus,BREMI9200032,40,"rio quarenta graus cidade maravilha purgatorio beleza caos capital sangue quente brasil capital sangue quente melhor pior brasil cidade sangue quente maravilha mutante rio cidade cidades misturadas rio cidade cidades camufladas governos misturados , camuflados , paralelos sorrateiros ocultando comandos comando comando submundo oficial comando comando submundo bandidaco comando comando submundo classe media comando comando submundo camelo comando comando submafia manicure comando comando submafia boate comando comando submundo madame comando comando submundo tv submendo deputado - submafia aposentado submundo papai - submafia mamae submundo vovo - submafia criancinha submundo filhinhos cidade sangue quente cidade maravilha mutante rio quarenta graus ... dono desse beco ? dono dessa rua ? edificio ? lugar ? lugar carioca , po quero cracha carioca `` canil veterinario assaltado liberando cachorrada doentia atropelando xuxu esquinas macumba violenta escopeta sainha plissada xuxa esquinas macumba violeta escopeta shortinho algodao '' cachorrada doentia joa cachorrada doentia sao cristovao cachorrada doentia bonsucesso cachorrada doentia madureira cachorrada doentia rocinha cachorrada doentia estacio cidade sangue quente cidade maravilha mutante rio quarenta graus ... novidade cultural garotada favelada , suburbana , classe media marginal informatica metralha sub-azul equipadinha cartucho musical batucada digital meio batuque inovacao marcacao pra pagodeira curticao falacao batucada cartucho sub-uzi batuque digital , metralhadora musical marcacao invocacao pra gritaria torcida galera funk marcacao invocacao pra gritaria torcida galera samba marcacao invocacao pra gritaria torcida galera tiroteio gatilho digital sub-uzi equipadinha cartucho musical contrabando militar novidade cultural garotada favelada suburbana shortinho chinelo camisa carregando sub-uzi equipadinha cartucho musical batucada digital cidade sangue quente cidade maravilha mutante rio quarenta graus cidade maravilha purgatorio beleza caos ",Protest,0.819,0.811,4,-9.854,0,0.063,0.0021,1.16e-05,0.109,0.493,98.13,0oJrVYXer2HbGnymbDninp,308867,4,mpb,Fernanda Abreu,https://i.scdn.co/image/4ee0464154912f0d2a42b7a6db830870b5eeb265,44,67142
9,spotify:track:1ieaNRjnBSPwznI7BQrEWi,Monte Castelo,BREMI8900070,49,"ainda falasse lingua homens falasse lingua anjos amor nada so amor , so amor conhece verdade amor bom , nao quer mal nao sente inveja envaidece amor fogo arde ver ferida doi nao sente contentamento descontente dor desatina doer ainda falasse lingua homens falasse lingua anjos amor nada nao querer bem querer solitario andar gente nao contentar-se contente cuidar ganha perder estar-se preso vontade servir vence , vencedor mata lealdade tao contrario si amor acordado todos dormem todos dormem , todos dormem agora vejo parte entao veremos face face so amor , so amor conhece verdade ainda falasse lingua homens falasse lingua anjos amor nada ",Protest,0.45,0.345,0,-14.813,1,0.0288,0.0742,0.0,0.354,0.507,92.675,1ieaNRjnBSPwznI7BQrEWi,230627,4,brazilian punk,Legião Urbana,https://i.scdn.co/image/cd410bc7c6e3591f65d9c9ee9516d2e96acfed42,70,2504333
