,query,type,genre,title,artist,year
0,Calice,Multiple Elements,Hip-Hop / Rap / R&B,Cálix-se,Trilha Sonora Do Gueto,2015
1,Calice,Vocals / Lyrics,Hip-Hop / Rap / R&B,Abalando,Gabriel O Pensador,1993
2,Como nossos pais,Multiple Elements,Hip-Hop / Rap / R&B,Direita Vou Ver,Mensageiros Da Profecia,2018
3,Mosca Na Sopa,Multiple Elements,Hip-Hop / Rap / R&B,Madlib Medicine Show No. 2 - Flight to Brazil,Madlib,2010
4,Mosca Na Sopa,Vocals / Lyrics,Hip-Hop / Rap / R&B,#NOTYOURS,Scooter Island feat. Junglepussy,2015
5,A Banda,Sound Effect / Other,Soul / Funk / Disco,You and Me,The Stylistics,1972
6,Que Pais E Este,Rock / Pop,,Que País É Este,Os Paralamas Do Sucesso,1999
7,Que Pais E Este,Rock / Pop,,Que País É Esse?,Capital Inicial,2005
8,Apenas Um Rapaz Latino Americano,Vocals / Lyrics,Hip-Hop / Rap / R&B,"Capítulo 4, Versículo 3",Racionais MC's,1997
9,Jorge Maravilha,Multiple Elements,Soul / Funk / Disco,Disco Samba,Two Man Sound,1976
10,Jorge Maravilha,Multiple Elements,Hip-Hop / Rap / R&B,"Brasil Com ""P""",GOG,1999
11,Jorge Maravilha,Multiple Elements,World,Spirit of Samba (Part 1),"Laurent Voulzy feat. Nina Miranda, Chyler Leigh and Luísa Maita",2017
12,Jorge Maravilha,Vocals / Lyrics,Soul / Funk / Disco,Fio Maravilha - Taj Mahal,Crystal Grass,1979
13,Opiniao,Vocals / Lyrics,Hip-Hop / Rap / R&B,Cachorro Louco Do Morro,Alcatéia,2010
14,Tropicalia,Multiple Elements,Rock / Pop,Green Grass,Tom Waits,2004
15,Panis Et Circenses,Multiple Elements,Classical,An Der Schönen Blauen Donau - Op. 314 (The Blue Danube),Johann Strauss II,1867
16,Carcara,Multiple Elements,Electronic / Dance,Rocketman No Inbo,Rocketman,1998
17,Vapor Barato,Vocals / Lyrics,Other,Honeybaby (Ambience 002),Frank Ocean,2016
18,Vapor Barato,Vocals / Lyrics,Other,Flor Da Pele / Vapor Barato,Zeca Baleiro,1998
19,Upa Neguinho,Multiple Elements,Soul / Funk / Disco,Disco Samba,Two Man Sound,1976
20,Pra Nao Dizer Que Nao Falei Das Flores,Multiple Elements,Electronic / Dance,Caminando,Reboot,2009
21,Eu Quero E Botar Meu Bloco Na Rua,Rock / Pop,,Mia Tetoia Mera (Μια τέτοια μέρα),Marina and Kostas Tournas,1974
22,Carcara,Multiple Elements,Electronic / Dance,Rocketman No Inbo,Rocketman,1998
23,Aquele Abraco,Multiple Elements,World,Emorio,Sérgio Mendes feat. Nayanna Holley and Carlinhos Brown,2010
24,Aquele Abraco,Vocals / Lyrics,Electronic / Dance,Rio 40 Graus (Album Version),Fernanda Abreu,1992
25,Angelica,Hook / Riff,Classical,Clair De Lune,Claude Debussy,1903
26,Como Nossos Pais,Multiple Elements,Hip-Hop / Rap / R&B,Direita Vou Ver,Mensageiros Da Profecia,2018
27,Monte Castelo,Rock / Pop,,Monte Castelo,Cidade Negra,2007
28,Carinhoso,Vocals / Lyrics,Hip-Hop / Rap / R&B,Deixa Quieto,Gabriel O Pensador,2012
29,Samba Da Bencao,Multiple Elements,Electronic / Dance,Nova,Amon Tobin,1998
30,Azul Da Cor Do Mar,Vocals / Lyrics,Hip-Hop / Rap / R&B,Se O Mundo Inteiro Pudesse Me Ouvir,Filosofia De Rua,1994
31,Azul Da Cor Do Mar,Multiple Elements,Hip-Hop / Rap / R&B,Se O Mundo Inteiro Pudesse Me Ouvir,Mano Tuthão,2005
32,Flor de Lis,Jazz / Blues,,Upside Down,Carmen McRae,1982
33,Flor de Lis,Other,,Flor De Lis,Ketama,1995
34,Disparada,Multiple Elements,Electronic / Dance,My Friends Never Die,ODESZA,2013
35,Disparada,Multiple Elements,Hip-Hop / Rap / R&B,YOLO,Chance the Rapper,2012
36,Disparada,Multiple Elements,Hip-Hop / Rap / R&B,Coming for the Crown,Abstract,2013
37,Como Nossos Pais,Multiple Elements,Hip-Hop / Rap / R&B,Direita Vou Ver,Mensageiros Da Profecia,2018
38,"Alegria, Alegria",Vocals / Lyrics,Hip-Hop / Rap / R&B,Los Terroristas,"Héctor ""El Father""",2006
39,Primavera nos dentes,Rock / Pop,,Primavera Nos Dentes,Cidade Negra,2007
